datapath   port   port-speed(B/s)
01          4         240.0
01          5         240.0

02          1         180.0


04          1         240.0



07          2         240.0

08          1           0.0

datapath   port   port-speed(B/s)
01          1         352.0
01          2         270.0
01          3         532.0
01          4         416.0
01          5         326.0
01          6         592.0

02          1         532.0
02          2         270.0

03          1         270.0
03          2         442.0

04          1         326.0
04          2         326.0

05          1         326.0
05          2         352.0

datapath   port   port-speed(B/s)
01          1        1224.4
01          2         627.6
01          3         721.9
01          4         452.4
01          5        1175.8
01          6        1099.2

02          1         721.2
02          2         319.4

03          1         319.4
03          2        1006.0

04          1        1174.6
04          2         846.2

05          1         846.2
05          2        1115.1

06          1        1476.0
06          2         532.0

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3          59.9
01          4        1377.2
01          5         119.8
01          6          59.9

02          1          59.8
02          2          59.8

03          1         119.8
03          2         119.8

04          1         308.4
04          2         119.9

05          1         119.6
05          2         119.6

06          1          59.9
06          2         688.6

07          1          59.8
07          2         936.2
07          3         119.6
07          4        1190.4
07          5           0.0

08          1         119.5
08          2        1375.9

datapath   port   port-speed(B/s)
05          1         119.9
05          2          59.9

07          1         119.8
07          2        1314.4
07          3         308.4
07          4        1377.2
07          5          59.9

datapath   port   port-speed(B/s)
08          1         119.5
08          2        1314.7

02          1         119.8
02          2         119.8

03          1         119.4
03          2         119.4

04          1         875.5
04          2          59.8

datapath   port   port-speed(B/s)
datapath   port   port-speed(B/s)
06          1         119.5
06          2         747.0

datapath   port   port-speed(B/s)
datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3         119.8
01          4        1377.2
01          5         308.4
01          6         119.8

05          1          59.7
05          2         119.4

datapath   port   port-speed(B/s)
08          1          59.4
08          2        1366.3

02          1         119.5
02          2         119.5

03          1          59.7
03          2         119.4

04          1        1367.7
04          2         306.2

07          1         119.8
07          2        1377.2
07          3         688.6
07          4        1377.2
07          5          59.9

datapath   port   port-speed(B/s)
datapath   port   port-speed(B/s)
01          1           0.0
01          2          59.9
01          3         119.8
01          4        1250.2
01          5        1375.9
01          6        1313.1

02          1         793.8
02          2        1342.4

03          1        1384.2
03          2        1384.2

04          1        1384.2
04          2        1510.5

05          1        1399.4
05          2        1341.1

06          1        1386.9
06          2        1386.9

07          1         625.1
07          2        1313.1
07          3        1375.9
07          4        1250.2
07          5          59.8

08          1        1326.6
08          2        1386.9

datapath   port   port-speed(B/s)
01          1          58.3
01          2          58.3
01          3        1339.8
01          4        2563.1
01          5        1951.5
01          6        2501.9

02          1        1341.1
02          2        1960.2

03          1        1960.2
03          2        1279.9

04          1        1951.5
04          2        1893.2

05          1        1895.0
05          2        1282.8

06          1        1284.0
06          2        1958.2

07          1        1282.4
07          2        2570.6
07          3        1960.1
07          4        1343.7
07          5          58.4

08          1        2453.2
08          2        1345.0

datapath   port   port-speed(B/s)
01          1          60.5
01          2          60.5
01          3        1392.5
01          4        2664.0
01          5        1840.6
01          6        2664.0

02          1        1391.1
02          2        1965.7

03          1        1967.7
03          2        1392.5

04          1        1904.1
04          2        1904.1

05          1        1902.2
05          2        1391.1

06          1        1391.1
06          2        2597.8

07          1        1391.1
07          2        2664.0
07          3        2600.4
07          4        1392.5
07          5          60.5

08          1        2661.3
08          2        1391.1

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1374.5
01          4        2446.7
01          5        2002.0
01          6        2632.1

02          1        1374.5
02          2        2002.0

03          1        1998.0
03          2        1312.1

04          1        1939.2
04          2        1939.2

05          1        1941.2
05          2        1190.4

06          1        1252.0
06          2        2566.7

07          1        1312.1
07          2        2502.0
07          3        2561.6
07          4        1186.9
07          5          59.6

08          1        2626.9
08          2        1188.1

datapath   port   port-speed(B/s)
01          1           0.0
01          2           0.0
01          3        1318.7
01          4        2634.7
01          5        2008.0
01          6        2634.7

02          1        1318.7
02          2        2008.0

03          1        2010.0
03          2        1380.0

04          1        2006.0
04          2        2006.0

05          1        2006.0
05          2        1377.2

06          1        1315.7
06          2        2634.7

07          1        1381.4
07          2        2577.0
07          3        2640.0
07          4        1381.4
07          5          60.0

08          1        2640.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1249.0
01          4        2632.1
01          5        2002.0
01          6        2569.3

02          1        1250.2
02          2        1941.2

03          1        1941.2
03          2        1313.1

04          1        2004.0
04          2        2004.0

05          1        2004.0
05          2        1375.9

06          1        1374.5
06          2        2572.3

07          1        1313.1
07          2        2632.1
07          3        2572.3
07          4        1316.1
07          5           0.0

08          1        2564.2
08          2        1313.4

datapath   port   port-speed(B/s)
01          1          58.8
01          2          58.8
01          3        1352.9
01          4        2585.7
01          5        1970.6
01          6        2588.6

02          1        1351.6
02          2        1971.6

03          1        1973.5
03          2        1355.9

04          1        1968.7
04          2        1968.7

05          1        1968.7
05          2        1413.3

06          1        1356.9
06          2        2595.9

07          1        1354.6
07          2        2588.2
07          3        2588.2
07          4        1351.6
07          5          58.8

08          1        2593.7
08          2        1354.3

datapath   port   port-speed(B/s)
01          1          60.2
01          2          60.2
01          3        1325.3
01          4        2590.4
01          5        1957.8
01          6        2463.9

02          1        1325.3
02          2        1954.8

03          1        1952.9
03          2        1321.0

04          1        1959.8
04          2        2020.1

05          1        2020.1
05          2        1323.6

06          1        1382.8
06          2        2645.3

07          1        1322.3
07          2        2590.4
07          3        2650.6
07          4        1385.5
07          5          60.2

08          1        2463.9
08          2        1385.5

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1374.5
01          4        2629.5
01          5        2002.0
01          6        2566.7

02          1        1375.9
02          2        1941.2

03          1        1941.2
03          2        1375.9

04          1        2002.0
04          2        1942.2

05          1        1942.2
05          2        1314.7

06          1        1317.4
06          2        2574.9

07          1        1375.9
07          2        2632.1
07          3        2572.3
07          4        1375.9
07          5          59.8

08          1        2569.3
08          2        1375.9

datapath   port   port-speed(B/s)
01          1          57.5
01          2          57.5
01          3        1323.1
01          4        2470.8
01          5        1869.6
01          6        2591.6

02          1        1321.8
02          2        1928.2

03          1        1920.8
03          2        1316.8

04          1        1867.8
04          2        1867.8

05          1        1866.0
05          2        1320.6

06          1        1316.8
06          2        2459.0

07          1        1334.6
07          2        2492.3
07          3        2492.3
07          4        1334.6
07          5          58.0

08          1        2639.3
08          2        1316.8

datapath   port   port-speed(B/s)
01          1          60.5
01          2          60.5
01          3        1391.1
01          4        2600.8
01          5        2026.2
01          6        2597.8

02          1        1391.1
02          2        1962.7

