datapath   port   port-speed(B/s)
01          1      955956.2
01          2          59.8
01          3      734485.1
01          4      1015278.9
01          5        3197.2
01          6        2002.0

02          1      737435.3
02          2      735488.0

03          1      735488.0
03          2      734800.8

04          1        3197.2
04          2        2629.5

05          1        2629.5
05          2        1942.2

06          1        1942.2
06          2        1375.9

07          1      734800.8
07          2      1015278.9
07          3        1374.5
07          4        1374.5
07          5      1257121.5

08          1        2004.0
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      104871.4
01          2          59.8
01          3      563486.5
01          4      519448.1
01          5        3260.2
01          6        2004.0

02          1      560533.4
02          2      594345.0

03          1      594345.0
03          2      630723.8

04          1        3263.5
04          2        2574.9

05          1        2572.3
05          2        2004.0

06          1        2004.0
06          2        1316.1

07          1      630723.8
07          2      515977.1
07          3        1316.1
07          4        1375.9
07          5      1256662.0

08          1        2004.0
08          2        1317.4

datapath   port   port-speed(B/s)
01          1      112240.8
01          2           0.0
01          3        2626.9
01          4      105632.2
01          5        3253.7
01          6        2000.0

02          1        2624.3
02          2        1998.0

03          1        1998.0
03          2        1312.1

04          1        3250.5
04          2        2624.3

05          1        2626.9
05          2        2000.0

06          1        1998.0
06          2        1312.1

07          1        1316.1
07          2      105948.2
07          3        1316.1
07          4        1316.1
07          5      1259736.8

08          1        1998.0
08          2        1371.8

datapath   port   port-speed(B/s)
01          1       47055.8
01          2          59.8
01          3        2629.5
01          4       42862.5
01          5        3257.0
01          6        2002.0

02          1        2632.1
02          2        2004.0

03          1        2002.0
03          2        1374.5

04          1        3257.0
04          2        2629.5

05          1        2629.5
05          2        1942.2

06          1        1942.2
06          2        1374.5

07          1        1370.4
07          2       42734.9
07          3        1370.4
07          4        1310.8
07          5      220732.9

08          1        2002.0
08          2        1314.7

datapath   port   port-speed(B/s)
01          1        8267.2
01          2          59.8
01          3        2572.3
01          4        3140.6
01          5        3260.2
01          6        2004.0

02          1        2572.3
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1        3260.2
04          2        2572.3

05          1        2572.3
05          2        2004.0

06          1        2006.0
06          2        1377.2

07          1        1380.0
07          2        3146.9
07          3        1378.6
07          4        1380.0
07          5          59.9

08          1        2004.0
08          2        1375.9

datapath   port   port-speed(B/s)
01          1        8204.4
01          2          59.8
01          3        2509.5
01          4        3260.2
01          5        3200.4
01          6        1944.2

02          1        2509.5
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1        3200.4
04          2        2632.1

05          1        2629.5
05          2        2002.0

06          1        2002.0
06          2        1374.5

07          1        1371.8
07          2        3253.7
07          3        1373.1
07          4        1371.8
07          5          59.7

08          1        1944.2
08          2        1375.9

datapath   port   port-speed(B/s)
01          1        8221.0
01          2          59.5
01          3        2678.9
01          4        3240.8
01          5        3240.8
01          6        1992.1

02          1        2678.9
02          2        1932.6

03          1        1932.6
03          2        1367.7

04          1        3240.8
04          2        2616.5

05          1        2619.0
05          2        1994.0

06          1        1992.1
06          2        1367.7

07          1        1378.6
07          2        3266.7
07          3        1378.6
07          4        1378.6
07          5           0.0

08          1        1992.1
08          2        1367.7

datapath   port   port-speed(B/s)
01          1        7921.9
01          2          60.1
01          3        2579.6
01          4        3273.3
01          5        3213.2
01          6        1952.0

02          1        2579.6
02          2        2012.0

03          1        2014.0
03          2        1382.8

04          1        3213.2
04          2        2642.6

05          1        2642.6
05          2        1888.9

06          1        1890.8
06          2        1382.8

07          1        1371.8
07          2        3250.5
07          3        1371.8
07          4        1371.8
07          5          59.6

08          1        1948.1
08          2        1378.6

datapath   port   port-speed(B/s)
01          1        8212.6
01          2          59.9
01          3        2634.7
01          4        3263.5
01          5        3200.6
01          6        2006.0

02          1        2634.7
02          2        1946.1

03          1        1942.2
03          2        1314.7

04          1        3203.8
04          2        2514.5

05          1        2514.5
05          2        2006.0

06          1        2006.0
06          2        1377.2

07          1        1314.7
07          2        3257.0
07          3        1374.5
07          4        1374.5
07          5          59.8

08          1        2006.0
08          2        1377.2

datapath   port   port-speed(B/s)
01          1        8196.2
01          2          59.8
01          3        2629.5
01          4        3194.2
01          5        3257.0
01          6        2002.0

02          1        2629.5
02          2        2002.0

03          1        2004.0
03          2        1375.9

04          1        3253.7
04          2        2626.9

05          1        2626.9
05          2        2002.0

06          1        2000.0
06          2        1253.7

07          1        1375.9
07          2        3197.4
07          3        1256.2
07          4        1316.1
07          5          59.8

08          1        2006.0
08          2        1317.4

datapath   port   port-speed(B/s)
01          1        8149.7
01          2           0.0
01          3        2634.7
01          4        3263.5
01          5        3263.5
01          6        1943.1

02          1        2634.7
02          2        2006.0

03          1        2008.0
03          2        1318.7

04          1        3263.5
04          2        2634.7

05          1        2634.7
05          2        1943.1

06          1        1945.1
06          2        1378.6

07          1        1318.7
07          2        3266.7
07          3        1378.6
07          4        1255.7
07          5          59.9

08          1        1943.1
08          2        1254.5

datapath   port   port-speed(B/s)
01          1        8220.8
01          2          59.9
01          3        2514.5
01          4        3146.9
01          5        3266.7
01          6        1945.1

02          1        2514.5
02          2        2008.0

03          1        2008.0
03          2        1378.6

04          1        3270.0
04          2        2640.0

05          1        2640.0
05          2        1950.0

06          1        1950.0
06          2        1380.0

07          1        1378.6
07          2        3146.9
07          3        1378.6
07          4        1378.6
07          5          59.9

08          1        1945.1
08          2        1378.6

datapath   port   port-speed(B/s)
01          1        8259.0
01          2          59.8
01          3        2569.7
01          4        3194.2
01          5        3134.5
01          6        2002.0

02          1        2569.7
02          2        2002.0

03          1        2002.0
03          2        1374.5

04          1        3194.0
04          2        2567.2

05          1        2567.2
05          2        2000.0

06          1        1998.0
06          2        1371.8

07          1        1374.5
07          2        3257.0
07          3        1374.5
07          4        1374.5
07          5          59.8

08          1        2002.0
08          2        1374.5

datapath   port   port-speed(B/s)
01          1        8207.4
01          2          59.8
01          3        2632.1
01          4        3260.2
01          5        3197.4
01          6        1881.4

02          1        2632.1
02          2        2004.0

03          1        2002.0
03          2        1374.5

04          1        3134.6
04          2        2632.1

05          1        2632.1
05          2        2004.0

06          1        2004.0
06          2        1375.9

07          1        1374.5
07          2        3194.2
07          3        1374.5
07          4        1374.5
07          5          59.8

08          1        1881.4
08          2        1375.9

datapath   port   port-speed(B/s)
01          1        8337.0
01          2          59.8
01          3        2701.9
01          4        3260.2
01          5        3330.0
01          6        1944.2

02          1        2701.9
02          2        2012.0

03          1        1951.1
03          2        1375.9

04          1        3330.0
04          2        2632.1

05          1        2629.5
